"Module","Gene","Connectivity"
"blue","LMF2",272.655667424416
"blue","GADD45GIP1",272.530454218234
"blue","PEX16",271.099882973128
"cyan","EPB42",10.7642834719988
"cyan","SLC4A1",9.77586325319333
"cyan","GYPA",8.880923648496
"cyan","IFIT1B",8.86721154241393
"cyan","TSPO2",8.52299229589135
"cyan","SELENBP1",8.35363077003608
"cyan","KLF1",8.18986463267522
"cyan","GYPB",8.00053661771925
"cyan","SPTA1",7.85153148800111
"cyan","AHSP",7.74364854457411
"cyan","RHAG",7.69529986514675
"cyan","CA1",7.67028859816868
"cyan","HBD",7.60513614529611
"cyan","TMCC2",7.41068316920419
"cyan","AQP1",6.95325170859082
"cyan","SPTB",6.62852569341495
"cyan","TRIM10",5.96421281408968
"cyan","TNS1",5.96008792832595
"cyan","ANK1",5.84410316745917
"cyan","SLC6A8",5.81654512993706
"cyan","RHCE",5.77007945563006
"cyan","BCL2L1",5.76700990150842
"cyan","YPEL4",5.11999993649394
"cyan","RUNDC3A",5.09233694446602
"cyan","ALAS2",4.80869204045713
"cyan","RAP1GAP",4.62005866293854
"cyan","GYPE",4.37605201040491
"cyan","SNCA",4.33151517931248
"cyan","STRADB",4.23359283410461
"cyan","KEL",4.10032541400839
"pink","EIF3A",37.0077693652046
"pink","VPS13C",34.0934495318477
"pink","ARFGEF2",33.1017423100611
"pink","SEPTIN2",32.9731691510443
"pink","TTC37",32.9585112272792
"pink","IPO7",32.9395386588241
"pink","WDR82",32.4818251496804
"pink","RBL2",31.2497198726966
"pink","SEPTIN7",30.8845788919507
"pink","TASOR2",30.8086136167649
"pink","ZNF146",30.3917646463932
"pink","TPP2",29.8655393292671
"pink","MYCBP2",29.5642699178144
"pink","USP16",29.4768667056892
"pink","DDX18",28.9109629609255
"pink","TSTD2",28.4891818497619
"pink","ANKIB1",28.3584426407389
"pink","CASP8AP2",28.2895539725823
"pink","DMTF1",28.1577166301406
"pink","OGT",27.7120401421925
"pink","POLR2B",27.5673698727453
"pink","DDX21",27.4299055421893
"pink","SF3B1",27.3401477780152
"pink","PTPN11",27.2415615651616
"pink","ARHGEF6",27.2112405730581
"pink","HECTD1",27.1957302052084
"pink","SYNCRIP",27.0752789857653
"pink","HNRNPA2B1",27.0467549598495
"pink","UFL1",26.8906975341656
"pink","PNISR",26.8190153968857
"green","ZNF787",24.6248061621792
"green","C3orf86",24.5445768917031
"green","PEAK3",24.3926480110797
"green","TSEN34",23.9358328420961
"green","B9D2",23.7363679488564
"green","LRG1",23.3179260834783
"green","ZNF467",23.2909867187437
"green","TMEM120A",23.2896748110723
"green","ULK1",22.2899847877474
"green","FLOT2",20.7965433227121
"green","SSH3",20.3813908114984
"green","ARID5A",20.3412932197772
"green","MLLT1",19.8021840075337
"green","KDM4B",19.7098074726479
"green","PLIN5",19.6157872190497
"green","TMEM88",19.592936348989
"green","TBKBP1",19.408371712361
"green","B3GNTL1",19.3599304764048
"green","MTX1",18.5656573220519
"green","CTDP1",18.5009051868612
"green","ROPN1L",18.1215486196892
"green","PANX2",17.9805585979043
"green","HLX",17.7887101129799
"green","POR",17.7499112030992
"green","VPS9D1",17.5708462860962
"green","AATK",17.4900413100912
"green","DHRS13",17.1611482544831
"green","SLC16A5",16.9361275147551
"green","CHRNA10",16.9331035128478
"green","SLC19A1",16.9144187353678
"turquoise","USP32",397.151303818892
"turquoise","NUMB",389.179640703812
"turquoise","ACAP2",387.551605297749
"turquoise","SOS2",387.091030416805
"turquoise","ROCK1",381.19885461376
"turquoise","SP3",379.617889918081
"turquoise","APC",379.359245945383
"turquoise","RP2",378.922790737849
"turquoise","NCOA2",378.79867424789
"turquoise","PHF20L1",378.6878872866
"turquoise","SHOC2",378.640666067316
"turquoise","RB1CC1",377.95067262758
"turquoise","ITCH",373.821447172759
"turquoise","PJA2",371.516546218627
"turquoise","SPOPL",370.641682261783
"turquoise","PIK3CA",369.907464307995
"turquoise","PIAS1",367.960684508583
"turquoise","SLC12A6",367.579425822203
"turquoise","DOCK11",367.146844014353
"turquoise","ZDHHC17",365.2741887318
"turquoise","RNF111",364.576004942531
"turquoise","HERC3",362.512954155768
