"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","DEG_status"
0.904218871406761,2.95074477895877,9.75930762018656,4.66246794871602e-17,8.97601573582574e-13,28.2788648179449,"MCM6","Not significant"
1.90591227615104,3.0309042718811,9.63718209690638,9.21940810992783e-17,8.97601573582574e-13,27.6099615511252,"RRM2","Upregulated"
2.00920685846612,3.02410608527547,9.19155377402783,1.09831989904313e-15,7.12882835805593e-12,25.1795538845442,"TYMS","Upregulated"
-1.03907767592976,3.13495170381471,-8.94818268920457,4.21521965717591e-15,1.8047266299884e-11,23.8606998749509,"GBGT1","Downregulated"
1.32966436964253,1.53279847628754,8.93099032159034,4.63415835555772e-15,1.8047266299884e-11,23.7677973727977,"TOP2A","Upregulated"
0.995138740545993,2.13340946827819,8.84172021198069,7.57511901132609e-15,2.38433112179425e-11,23.2860120603246,"MCM4","Not significant"
0.797411599244011,0.86959786904278,8.81924432471467,8.57144507629403e-15,2.38433112179425e-11,23.1648749348402,"DTL","Not significant"
-0.831224288808008,0.732763165380037,-8.78782838023623,1.01863074574496e-14,2.47934723514324e-11,22.9956676819836,"CACNA2D3","Not significant"
0.638831442066619,1.68052153922475,8.74075250496977,1.31898644705338e-14,2.69842126754836e-11,22.7423685023479,"CDC7","Not significant"
1.24776133779251,2.5401821571024,8.73174470216592,1.38579563863412e-14,2.69842126754836e-11,22.693935768597,"NUSAP1","Upregulated"
0.871279771696349,0.992235872966059,8.64372706878805,2.24452084233818e-14,3.97320998563718e-11,22.2212977506885,"MELK","Not significant"
1.07017277827147,1.92982386148506,8.62103879254136,2.54114831236666e-14,4.12343666153363e-11,22.0996498087606,"PALM2AKAP2","Upregulated"
0.882208493903039,1.1309093586689,8.58992746614252,3.01228877535438e-14,4.42621201987612e-11,21.9329656454662,"CDC6","Not significant"
1.39485528787425,2.42189580761037,8.57987542219757,3.18236279161184e-14,4.42621201987612e-11,21.8791415736612,"ZWINT","Upregulated"
0.727273208923311,2.18098553295432,8.55842951288535,3.5778179154576e-14,4.64448469665269e-11,21.764360511431,"NDC80","Not significant"
0.556332586510095,4.44137610302066,8.54438386117303,3.8629369140447e-14,4.7011942243924e-11,21.6892251386461,"KPNA2","Not significant"
1.54379350517653,2.21023486789617,8.42981170949956,7.21198235014084e-14,8.2606894307025e-11,21.0775092450556,"CDK1","Upregulated"
1.29317174156197,1.57985572274114,8.38802189549562,9.05163699793716e-14,9.79185975687958e-11,20.8549236676016,"BUB1","Upregulated"
-0.983239400753276,4.98482385196379,-8.28591602264826,1.57503321235508e-13,1.61416035320937e-10,20.3123349864965,"SLC15A3","Not significant"
0.580745508826462,1.80037849504112,8.23915880604808,2.02858494412101e-13,1.89307610295132e-10,20.0644837362627,"FUT8","Not significant"
1.09125877697787,1.8718132112552,8.23797363574506,2.04162891135875e-13,1.89307610295132e-10,20.0582065215989,"CCNA2","Upregulated"
0.795367829659651,1.3599299537961,8.21862213401093,2.26679619229107e-13,2.00632070255871e-10,19.9557483673654,"CHEK1","Not significant"
1.19932591799652,2.35231017967051,8.17004458476859,2.94673300969532e-13,2.49472978977336e-10,19.6988562701272,"CD38","Upregulated"
0.909594924601175,1.13471743362031,8.13432342692739,3.57271850013032e-13,2.8986656097724e-10,19.5102362186788,"MKI67","Not significant"
1.12397221113672,1.47754329003124,8.11697886979685,3.92267687344158e-13,3.05529456318618e-10,19.418739096552,"CDC45","Upregulated"
0.982245001825963,1.29043632253406,8.09864363681098,4.32970083849056e-13,3.24261287411878e-10,19.3220792433683,"NCAPG","Not significant"
-0.501589049575866,0.312722975002559,-8.08646562790827,4.62295846870043e-13,3.33400915935314e-10,19.2579153524219,"FAM3D","Not significant"
0.883042683186572,1.008319729767,8.05947684932771,5.34507774107617e-13,3.71711977765125e-10,19.1158200409657,"DEPDC1B","Not significant"
0.546515708610323,0.548771813768027,8.03418577768617,6.12305488718626e-13,4.11131464701003e-10,18.9827945642659,"MCM10","Not significant"
0.613609936408267,1.43317874091782,8.02012406126805,6.60323205728993e-13,4.28593782065165e-10,18.9088886019992,"WEE1","Not significant"
3.90041373337578,8.13847248701585,7.99905723190402,7.39346246230303e-13,4.64404842148273e-10,18.798239981905,"JCHAIN","Upregulated"
0.463534800270501,0.574431587072777,7.98431066573704,8.00182059732476e-13,4.86910783347212e-10,18.7208410107256,"STIL","Not significant"
4.62163060716876,8.56305291145638,7.93475170154992,1.04342543644906e-12,6.15684245410182e-10,18.4610550422083,"IGHG1","Upregulated"
-1.07326527171367,3.50196915391623,-7.90298876615386,1.23659664514431e-12,7.08206172772061e-10,18.2948261827955,"METRNL","Downregulated"
-0.912359122876748,1.37950222187778,-7.8764372801563,1.42502598946877e-12,7.92803030483885e-10,18.1560361549037,"GPR35","Not significant"
0.876108946682926,0.879491011764744,7.86789535885439,1.49150623912486e-12,8.0673915245109e-10,18.1114180744338,"PBK","Not significant"
0.428363273084877,0.832730076028968,7.85474786783925,1.59989445500596e-12,8.41976887239893e-10,18.042774076142,"CLSPN","Not significant"
-0.922960384321204,6.20491342788533,-7.83623656053427,1.7658766474203e-12,8.92784916425686e-10,17.9461891403149,"TWF2","Not significant"
0.729477948400097,0.943140621972068,7.83388631587946,1.78813741478029e-12,8.92784916425686e-10,17.9339318361146,"TRIP13","Not significant"
0.640364544448734,2.24933340544521,7.81128923921152,2.01690034838916e-12,9.81827089595842e-10,17.8161427927327,"RACGAP1","Not significant"
0.442446985512123,0.809094730262084,7.80185042685255,2.1208470539643e-12,1.00724716670227e-09,17.7669757657465,"GINS4","Not significant"
