"Gene","Module"
"TBC1D3C","grey"
"LIME1","blue"
"GSTT1","blue"
"LGALS3BP","black"
"NECTIN2","blue"
"IDO1","brown"
"IL7R","red"
"CLEC10A","salmon"
"DHRS9","yellow"
"FAM174C","blue"
"IRF7","black"
"PDZK1IP1","blue"
"COL17A1","greenyellow"
"PF4V1","grey"
"ITGA7","yellow"
"TNFAIP6","turquoise"
"ALOX15","brown"
"MGAM2","turquoise"
"HBE1","yellow"
"S100A12","yellow"
"IFIH1","black"
"PTGDR2","brown"
"PER1","yellow"
"EGR3","grey"
"LIPN","turquoise"
"IL1RAP","turquoise"
"NDUFS7","blue"
"SMN2","red"
"TRIM22","black"
"MIF","blue"
"CDK5RAP2","yellow"
"CLEC4C","grey"
"ANKRD34B","turquoise"
"C9orf16","blue"
"MYBL2","magenta"
"SAMD9L","black"
"LCK","brown"
"RRM2","magenta"
"TAS2R40","yellow"
"PHOSPHO1","blue"
"SEPTIN4","black"
"CD6","brown"
"CD27","brown"
"RNA28SN4","blue"
"CLEC12B","grey"
"KLRF1","red"
"VPREB3","brown"
"TARP","red"
"PCOLCE2","yellow"
"MARCO","blue"
"CD2","red"
"FAM3B","grey"
"ACSL1","turquoise"
"KLRB1","brown"
"CRIP2","blue"
"IGFBP2","blue"
"CNTNAP3","turquoise"
"AP3B2","yellow"
"EPB42","cyan"
"FLT3LG","brown"
"HLA-DPA1","brown"
"MYL9","purple"
"NKG7","brown"
"MZT2B","blue"
"MXRA7","yellow"
"CD247","red"
"AIM2","turquoise"
"HLA-DQA1","brown"
"ALPL","green"
"EGR2","pink"
"CST7","yellow"
"S1PR4","blue"
"CDKN1C","brown"
"CD4","brown"
"TMCC2","cyan"
"LRRK2","turquoise"
"POU2AF1","tan"
"RPL36","brown"
"SLPI","yellow"
"GIMAP5","brown"
"GBP4","black"
"TREML4","grey"
"MCRIP1","blue"
"TGFBI","salmon"
"SLFN5","black"
"FFAR3","green"
"PLIN5","green"
"DEFB1","black"
"H2BC5","turquoise"
"GNG8","blue"
"HLA-DRB1","brown"
"TACSTD2","greenyellow"
"PFKFB3","yellow"
"SIPA1L2","turquoise"
"EPCAM","yellow"
"ELAPOR1","grey"
"NAPSA","brown"
"AMPH","yellow"
"WFDC1","yellow"
"PPDPF","blue"
"CYP27A1","grey"
"PLAAT4","brown"
"NAPRT","blue"
"DPM3","blue"
"MZT2A","blue"
"HNRNPH2","turquoise"
"GALNT14","yellow"
"HLA-DPB1","brown"
"TDRD9","yellow"
"TRAPPC6A","brown"
"OSM","yellow"
"TIAM2","turquoise"
"CYSTM1","yellow"
"S1PR5","red"
"KCNJ2","turquoise"
"IFIT5","black"
"TNFRSF13B","tan"
"C3AR1","yellow"
"SULT1B1","turquoise"
"UGCG","yellow"
"XCL2","brown"
"H2BC7","turquoise"
"HERC6","black"
"RNA28SN3","grey"
"RPS26","brown"
"CASP5","yellow"
"PARP14","black"
"CD79B","brown"
"CFAP45","yellow"
"MS4A4A","yellow"
"IL5RA","brown"
"LGALS9C","grey"
"NSUN7","yellow"
"IRS2","yellow"
"KLHL2","yellow"
"PRG2","greenyellow"
"SPON2","brown"
"NOMO3","turquoise"
"GADD45GIP1","blue"
"ZCCHC2","black"
"RNASE2","greenyellow"
"MT1E","blue"
"EVL","brown"
"TROAP","magenta"
"LYZ","pink"
"CCL23","brown"
"MATK","brown"
"ERAP2","grey"
"CD160","red"
"SLC5A9","yellow"
"FUT7","blue"
"TARM1","greenyellow"
"KREMEN1","turquoise"
"PTPRC","turquoise"
"FUOM","blue"
"PRRG4","turquoise"
"SEPTIN1","brown"
"RESF1","turquoise"
"TNFRSF25","brown"
"NELL2","red"
"HBQ1","blue"
"KRT1","cyan"
"CSGALNACT1","turquoise"
"ADGRG1","red"
"TLR5","yellow"
